postcode,lat,lon,area_code
CM233AZ,51.86838912963867,0.1605452597141266,LSOA::E01035595
MK410SE,52.142059326171875,-0.4248501062393189,LSOA::E01017527
NE331PD,54.99640274047851,-1.430785894393921,LSOA::E01008667
N211HS,51.63370895385742,-0.10335194319486618,LSOA::E01001569
SN153LD,51.45293045043945,-2.1058573722839355,LSOA::E01031916
TQ13YA,50.467533111572266,-3.530323028564453,LSOA::E01015256
SM45DA,51.40154266357422,-0.196746364235878,LSOA::E01003427
OL84SA,53.520606994628906,-2.13611102104187,LSOA::E01005378
KT33LX,51.39914321899414,-0.25992244482040405,LSOA::E01002984
OX116GD,51.60626983642578,-1.2714760303497314,LSOA::E01035760
N41LA,51.58112716674805,-0.09922026097774506,LSOA::E01002044
BS14AZ,51.452762603759766,-2.5956666469573975,LSOA::E01033908
BL36LF,53.567657470703125,-2.442791700363159,LSOA::E01004851
SE96UD,51.46659469604492,0.0526360496878624,LSOA::E01001610
LS72BB,53.80843353271485,-1.5360583066940308,LSOA::E01011671
HP53EZ,51.71327209472656,-0.6082351207733154,LSOA::E01017781
SW50PT,51.492820739746094,-0.19252724945545197,LSOA::E01002850
E143UU,51.495418548583984,-0.00750293442979455,LSOA::E01004214
LE673XA,52.72420883178711,-1.373310923576355,LSOA::E01025930
BS206PR,51.48125457763672,-2.768714189529419,LSOA::E01014795
E106AP,51.575927734375,-0.011748182587325571,LSOA::E01004365
SE254BJ,51.40199661254883,-0.07387679070234299,LSOA::E01001142
NG177DA,53.10055160522461,-1.2445930242538452,COUNTY::NOTTINGHAMSHIRE
HX11UX,53.72510528564453,-1.8602441549301147,LSOA::E01034582
HP65DW,51.67473220825195,-0.6089538931846619,LSOA::E01017763
NG316SE,52.91224670410156,-0.6405149102210999,LSOA::E01026323
CO64EE,51.92620468139648,0.8792110681533813,LSOA::E01021661
TW31NH,51.47001266479492,-0.3577839136123657,LSOA::E01034036
LE51DR,52.64825820922851,-1.061174392700195,LSOA::E01013694
SR79AA,54.816890716552734,-1.3833740949630735,LSOA::E01033198
WC1V6LS,51.51806640625,-0.11713984608650208,LSOA::E01000914
L70LS,53.41220474243164,-2.936736822128296,LSOA::E01006692
BB30AA,53.7096061706543,-2.4812328815460205,LSOA::E01012590
